Fp1	-92	-72
AFz	69	90
F7	-92	-36
F3	-60	-51
FC1	-32	-45
FC5	-72	-21
T7	-92	0
C3	-46	0
CP1	-32	45
TP7	-92	18
P7	-92	36
CP3	-50	28
POz	69	-90
P3	-60	51
O1	-92	72
Oz	92	-90
O2	92	-72
P4	60	-51
CP4	50	-28
P8	92	-36
TP8	92	-18
CP2	32	-45
C4	46	0
T8	92	0
FC6	72	21
FC2	32	45
F4	60	51
F8	92	36
Fpz	92	90
Fp2	92	72
Fz	46	90
Cz	0	0
